frame,centroide_x,centroide_y,area_px2,bbox_x,bbox_y,bbox_w,bbox_h
0,344,391,12806,294,282,111,189
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,305,142,947,280,120,47,50
6,306,143,886,281,123,45,40
7,,,,,,,
8,308,146,1003,281,122,52,45
9,,,,,,,
10,308,150,811,281,128,46,42
11,,,,,,,
12,308,154,1012,280,131,53,69
13,,,,,,,
14,308,160,896,280,136,49,60
15,,,,,,,
16,310,162,979,280,138,53,58
17,310,165,1127,280,137,51,61
18,310,166,1010,283,137,51,57
19,310,166,1206,280,139,54,59
20,309,171,909,280,140,52,56
21,310,173,1033,279,140,54,56
22,311,175,1114,279,143,55,58
23,308,177,990,279,144,55,58
24,311,176,1213,279,144,56,57
25,309,176,1419,279,144,56,61
26,311,178,1411,279,145,57,61
27,313,182,1265,279,146,57,75
28,313,183,1274,279,148,58,63
29,308,185,1846,279,149,59,64
30,308,188,2027,279,151,59,79
31,308,190,1745,279,151,60,66
32,310,194,1762,280,167,59,63
33,312,194,1564,279,151,61,79
34,312,197,1514,280,153,61,72
35,314,200,1433,278,160,63,67
36,309,201,2056,279,167,63,63
37,314,202,1743,279,169,63,61
38,314,205,1652,279,170,64,66
39,313,207,1626,279,172,64,61
40,315,210,1559,279,174,65,62
41,315,211,1621,278,175,66,62
42,317,214,1582,278,177,67,62
43,316,215,1672,278,179,68,63
44,317,218,1723,278,180,68,64
45,317,219,1774,278,182,68,69
46,316,221,1924,278,184,69,73
47,315,223,2250,278,186,69,71
48,316,226,2039,278,188,70,72
49,318,232,1854,278,190,70,84
50,316,232,1933,279,192,70,72
51,318,233,1833,279,194,71,68
52,316,235,2291,279,196,71,70
53,316,238,2286,283,198,67,75
54,319,238,2343,283,199,68,75
55,315,241,2627,279,202,72,74
56,316,242,3024,279,204,73,77
57,316,243,3214,279,206,73,77
58,318,245,2767,279,203,74,83
59,316,246,3461,279,199,75,88
60,325,256,2724,286,213,71,85
61,326,259,2863,286,215,70,83
62,326,260,2829,286,217,72,81
63,334,261,2333,312,220,47,78
64,334,262,2429,312,222,47,78
65,334,265,2434,312,224,47,77
66,334,267,2412,312,227,47,76
67,335,268,2646,312,229,47,78
68,335,271,2703,312,232,47,79
69,335,275,2746,312,234,48,81
70,335,278,2839,312,237,48,82
71,336,281,2883,312,240,49,83
72,336,286,2899,312,243,49,84
73,336,288,3074,312,245,50,85
74,336,291,3139,312,248,50,87
75,336,296,3297,307,251,56,100
76,336,300,3379,308,254,55,97
77,337,304,3518,307,257,57,94
78,337,308,3592,306,260,58,93
79,288,183,3947,251,73,67,274
80,334,316,4152,286,266,80,97
81,335,320,4212,286,270,80,98
82,287,168,4510,242,59,89,243
83,288,172,4859,247,65,87,246
84,289,172,5068,241,66,93,245
85,289,177,5621,241,59,93,256
86,290,177,5715,249,59,85,258
87,290,177,5867,249,64,85,258
88,290,180,6049,249,60,85,263
89,333,359,6232,272,287,99,184
90,292,216,6351,260,71,74,400
91,340,364,6052,306,287,66,146
92,341,376,5856,307,312,66,127
93,341,382,6102,310,316,64,144
94,341,390,6425,309,321,65,146
95,342,398,6980,307,326,71,145
96,342,404,7104,306,331,81,140
97,342,408,7065,306,336,81,135
98,342,408,7007,306,336,81,135
